ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/04/2026;COBERTURA;IMPORTE AFILIADO
51569;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 10 ml;Abbvie;$ 5084.83;50%;$ 2542.42
56822;carboximetilcelulosa sód.+asoc.;REFRESH FUSION;sol.oft.x 10 ml;Abbvie;$ 25791.16;50%;$ 12895.58
51599;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 15 ml;Abbvie;$ 5223.66;50%;$ 2611.83
37918;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 10 ml;Abbvie;$ 17573.27;50%;$ 8786.64
23975;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 15 ml;Abbvie;$ 25107.41;50%;$ 12553.71
32902;carboximetilcelulosa sódica;REFRESH LIQUIGEL;1% fco.gotero x 15 ml;Abbvie;$ 23964.75;50%;$ 11982.38
42509;ciclosporina;RESTASIS;viales x 30 unid.x 0.4ml;Abbvie;$ 52010.02;60%;$ 20804.01
41748;epinastina;RELESTAT;sol.oft.x 5 ml;Abbvie;$ 20563.71;50%;$ 10281.86
241;fluorometolona;F M L LIQUIFILM;susp.oft.x 10 ml;Abbvie;$ 13662.32;50%;$ 6831.16
242;fluorometolona+asoc.;F M L NEO LIQUIFILM;susp.oft.x 5 ml;Abbvie;$ 2199.19;50%;$ 1099.6
34168;gatifloxacina;ZYMARAN;0.3% sol.oft.x 5 ml;Abbvie;$ 33127.73;80%;$ 6625.55
47867;gatifloxacina;ZYMAXID;fco.gotero x 5 ml;Abbvie;$ 40663.92;80%;$ 8132.78
48712;gatifloxacina+prednisolona,acet.;ZYPRED;susp.oft.x 6 ml;Abbvie;$ 50723.53;50%;$ 25361.77
43004;glicerina+asoc.;OPTIVE;sol.oft.x 10 ml;Abbvie;$ 20384.24;50%;$ 10192.12
40574;glicerina+asoc.;OPTIVE;sol.oft.x 15 ml;Abbvie;$ 26785.43;50%;$ 13392.72
38945;ketorolac;ACULAR LS;sol.oft.x 5 ml;Abbvie;$ 20857.55;50%;$ 10428.78
15467;ketorolac;ACULAR;sol.oft.x 5 ml;Abbvie;$ 17384.06;50%;$ 8692.03
48009;ketorolac;ACUVAIL;viales unids.x 30 x0.4ml;Abbvie;$ 1118.2;50%;$ 559.1
19724;levobunolol;BETAGAN LIQUIFILM;0.50% sol.x 5 ml;Abbvie;$ 537.19;60%;$ 214.88
13697;ofloxacina;OFLOX;sol.oft.x 5 ml;Abbvie;$ 1674.46;60%;$ 669.78
246;prednisolona+fenilefrina;PREDNEFRIN 0.12%;susp.oft.x 10 ml;Abbvie;$ 2359.35;80%;$ 471.87
245;prednisolona+fenilefrina;PREDNEFRIN FORTE;susp.oft.x 10 ml;Abbvie;$ 34843.93;80%;$ 6968.79
26301;tobramicina;TOBRAGAN;0.3% gts.oft.x 5 ml;Abbvie;$ 468.44;60%;$ 187.38
11964;aceite de salmón;REGULIP;1 g cáps.x 60;Adium;$ 65834.57;40%;$ 39500.74
34244;aceite de salmón;REGULIP;1 g cáps.x 90;Adium;$ 95848.27;40%;$ 57508.96
58150;aripiprazol;ARIZIC;10 mg comp.rec.x 30;Adium;$ 29592.79;50%;$ 14796.4
58148;aripiprazol;ARIZIC;15 mg comp.rec.x 30;Adium;$ 43409.83;50%;$ 21704.92
58151;aripiprazol;ARIZIC;20 mg comp.rec.x 30;Adium;$ 52880.89;50%;$ 26440.45
58149;aripiprazol;ARIZIC;5 mg comp.rec.x 30;Adium;$ 26822.15;50%;$ 13411.08
22369;atorvastatín;LIPIFEN;10 mg comp.x 30;Adium;$ 38301.94;60%;$ 15320.78
22370;atorvastatín;LIPIFEN;20 mg comp.x 30;Adium;$ 63477.97;60%;$ 25391.19
50267;atorvastatín;LIPIFEN;40 mg comp.x 30;Adium;$ 74186.94;60%;$ 29674.78
40014;atorvastatín+ezetimibe;COLMIBE;10/10 mg comp.x 30;Adium;$ 42544.18;50%;$ 21272.09
40015;atorvastatín+ezetimibe;COLMIBE;20/10 mg comp.x 30;Adium;$ 59716.03;50%;$ 29858.02
50193;atorvastatín+ezetimibe;COLMIBE;40/10 mg comp.x 30;Adium;$ 74066.25;50%;$ 37033.13
61001;buprenorfina;BUPRIVA;10 mg parche x 1;Adium;$ 46377.79;50%;$ 23188.9
61002;buprenorfina;BUPRIVA;20 mg parche x 1;Adium;$ 56282.62;50%;$ 28141.31
61000;buprenorfina;BUPRIVA;5 mg parche x 1;Adium;$ 35796.24;50%;$ 17898.12
23483;bupropión;ODRANAL;150mg comp.lib.prol.x 30;Adium;$ 79905.97;40%;$ 47943.58
26876;bupropión;ODRANAL;150mg comp.lib.prol.x 60;Adium;$ 144785.76;40%;$ 86871.46
51689;ciclobenzaprina;MITRUL;15 mg cáps.x 10;Adium;$ 29314.77;50%;$ 14657.39
24913;clindamicina;TORGYN;100 mg ov.vag.x 7;Adium;$ 17776.13;60%;$ 7110.45
30481;clindamicina;TORGYN;100 mg óv.vag.x 3;Adium;$ 13064.65;60%;$ 5225.86
35664;clindamicina+ketoconazol;TORGYN DUO;cáps.blandas vag.x 7;Adium;$ 22838.02;50%;$ 11419.01
33881;clopidogrel;NABRATIN;75 mg comp.rec.x 30;Adium;$ 67817.18;50%;$ 33908.59
46775;condroitín,sulfato+glucosamina;ASOTREX;cáps.x 30;Adium;$ 75742.5;40%;$ 45445.5
46776;condroitín,sulfato+glucosamina;ASOTREX;cáps.x 60;Adium;$ 115830.51;40%;$ 69498.31
46779;condroitín,sulfato+glucosamina;ASOTREX;sob.x 30;Adium;$ 147274.09;40%;$ 88364.45
60620;dapagliflozina;FANTER;10 mg comp. x 30;Adium;$ 72380.82;100%;$ 0
47882;desvenlafaxina;FAPRIS;100mg comp.rec.lib.prx30;Adium;$ 62657.69;50%;$ 31328.85
47881;desvenlafaxina;FAPRIS;50mg comp.rec.lib.pr.x30;Adium;$ 34143.18;50%;$ 17071.59
50098;dexlansoprazol;APATRIX 30;cáps. x 30;Adium;$ 40795.02;40%;$ 24477.01
50100;dexlansoprazol;APATRIX 60;cáps. x 30;Adium;$ 58036.75;40%;$ 34822.05
22035;diclofenac potásico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 15;Adium;$ 23860.19;40%;$ 14316.11
22036;diclofenac potásico+paracetamol;PARACETAMOL FORTE RAFFO;comp.rec.x 30;Adium;$ 50490.81;40%;$ 30294.49
52261;dutasteride+tamsulosina;REDUPROST DUO;cáps.duras x 30;Adium;$ 67774.78;50%;$ 33887.39
30743;estradiol;PROGYNOVA;2 mg comp.x 28;Adium;$ 13609.11;50%;$ 6804.56
53870;etoricoxib;XUMER;120 mg comp.rec.x 7;Adium;$ 17638.79;50%;$ 8819.4
53866;etoricoxib;XUMER;60 mg comp.rec.x 14;Adium;$ 17981.29;50%;$ 8990.65
53867;etoricoxib;XUMER;60 mg comp.rec.x 28;Adium;$ 36429.27;50%;$ 18214.64
53868;etoricoxib;XUMER;90 mg comp.rec.x 14;Adium;$ 29825.51;50%;$ 14912.76
53869;etoricoxib;XUMER;90 mg comp.rec.x 28;Adium;$ 45128.04;50%;$ 22564.02
37344;ezetimibe+simvastatin;REDUSTEROL DUO;10/10 mg comp.x 30;Adium;$ 26470.38;50%;$ 13235.19
37345;ezetimibe+simvastatin;REDUSTEROL DUO;10/20 mg comp.x 30;Adium;$ 26470.38;50%;$ 13235.19
37346;ezetimibe+simvastatin;REDUSTEROL DUO;10/40 mg comp.x 30;Adium;$ 42500.07;50%;$ 21250.04
10665;fluconazol;MUTUM;100 mg comp.x 15;Adium;$ 98929.7;50%;$ 49464.85
16364;fluconazol;MUTUM;150 mg comp.x 1;Adium;$ 9066.64;50%;$ 4533.32
16365;fluconazol;MUTUM;150 mg comp.x 2;Adium;$ 17739.89;50%;$ 8869.95
23526;fluconazol;MUTUM;150 mg comp.x 4;Adium;$ 31284.3;50%;$ 15642.15
43799;fluconazol;MUTUM;150 mg comp.x 8;Adium;$ 54428.28;50%;$ 27214.14
11746;fluconazol;MUTUM;200 mg comp.x 10;Adium;$ 111513.6;50%;$ 55756.8
11963;fluconazol;MUTUM;200 mg comp.x 30;Adium;$ 284480.45;50%;$ 142240.23
32631;gabapentin;ULTRANEURAL;100 mg comp.x 30;Adium;$ 19159.07;60%;$ 7663.63
32630;gabapentin;ULTRANEURAL;300 mg comp.x 30;Adium;$ 34736.66;60%;$ 13894.66
34457;gabapentin;ULTRANEURAL;300 mg comp.x 60;Adium;$ 62057.56;60%;$ 24823.02
32633;gabapentin;ULTRANEURAL;600 mg comp.x 30;Adium;$ 43745.56;60%;$ 17498.22
11671;glibenclamida;GARDOTON;comp.x 30;Adium;$ 5020.21;100%;$ 0
11672;glibenclamida;GARDOTON;comp.x 60;Adium;$ 9957.61;100%;$ 0
56914;glucosamina;ASOTREX GL;sob.x 15;Adium;$ 20090.28;40%;$ 12054.17
56916;glucosamina;ASOTREX GL;sob.x 30;Adium;$ 55523.49;40%;$ 33314.09
38252;ibandrónico,ác.;IDENA;150 mg comp.rec.x 1;Adium;$ 41973.74;50%;$ 20986.87
40004;ibandrónico,ác.;IDENA;150 mg comp.rec.x 2;Adium;$ 67277.7;50%;$ 33638.85
59724;insaponificables;CLEDIUM;cáps. x 30;Adium;$ 39785.76;40%;$ 23871.46
8268;isoxsuprina;DUVADILAN;10 mg comp.x 20;Adium;$ 24157.47;50%;$ 12078.74
46447;lacosamida;LACOTEM;100 mg comp.rec.x 30;Adium;$ 106143.16;50%;$ 53071.58
47376;lacosamida;LACOTEM;150 mg comp.rec.x 30;Adium;$ 143505.48;50%;$ 71752.74
47377;lacosamida;LACOTEM;200 mg comp.rec.x 30;Adium;$ 191340.06;50%;$ 95670.03
46446;lacosamida;LACOTEM;50 mg comp.rec.x 30;Adium;$ 50029.74;50%;$ 25014.87
48499;levetiracetam;LEVAXON;1000 mg comp.x 30;Adium;$ 157138.73;50%;$ 78569.37
48497;levetiracetam;LEVAXON;500 mg comp.x 20;Adium;$ 53136.93;50%;$ 26568.47
48498;levetiracetam;LEVAXON;500 mg comp.x 60;Adium;$ 149948.13;50%;$ 74974.07
42077;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 14;Adium;$ 29132.52;60%;$ 11653.01
33882;levofloxacina;UNIFLOX;500 mg comp.rec.ran.x 7;Adium;$ 18295.27;60%;$ 7318.11
38087;levofloxacina;UNIFLOX 750;750 mg comp.rec.x 5;Adium;$ 20994.76;60%;$ 8397.9
8262;levonorgestrel+estradiol;CICLOCUR;blist.grag.x 21;Adium;$ 15296.32;50%;$ 7648.16
8288;levonorgestrel+etinilestradiol;MICROGYNON;blist.grag.x 21;Adium;$ 8194.45;50%;$ 4097.23
8317;levonorgestrel+etinilestradiol;TRIQUILAR;blist.grag.x 21;Adium;$ 8877.35;50%;$ 4438.68
13698;levonorgestrel+etinilestradiol;MICROVLAR;grag.x 21;Adium;$ 5770.63;50%;$ 2885.32
18517;meloxicam;FLEXIDOL;15 mg comp.ran.x 10;Adium;$ 12917.55;40%;$ 7750.53
20354;meloxicam;FLEXIDOL;15 mg comp.ran.x 20;Adium;$ 25372.87;40%;$ 15223.72
18518;meloxicam;FLEXIDOL;15 mg comp.ran.x 30;Adium;$ 36875.98;40%;$ 22125.59
53871;meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 10;Adium;$ 13848.69;40%;$ 8309.21
53872;meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 20;Adium;$ 27090.62;40%;$ 16254.37
38085;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 10;Adium;$ 14535.16;40%;$ 8721.1
38086;meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 20;Adium;$ 28510.6;40%;$ 17106.36
29028;mirtazapina;COMENTER;30 mg comp.x 30;Adium;$ 42749.34;50%;$ 21374.67
45009;nebivolol;NABILA;10 mg comp.x 28;Adium;$ 38134.15;50%;$ 19067.08
45008;nebivolol;NABILA;2.5 mg comp.x 28;Adium;$ 9072.06;50%;$ 4536.03
42275;nebivolol;NABILA;5 mg comp.x 28;Adium;$ 19640.62;50%;$ 9820.31
59378;nebivolol+hidroclorotiazida;NABILA D;5/12.5 mg comp.rec.x 28;Adium;$ 22694.13;50%;$ 11347.07
17442;nimodipina;NIVAS;30 mg comp.rec.x 30;Adium;$ 12640.3;50%;$ 6320.15
17443;nimodipina;NIVAS;30 mg comp.rec.x 60;Adium;$ 21023.08;50%;$ 10511.54
12529;nimodipina;NIVAS FORTE;60 mg comp.rec.x 30;Adium;$ 20625.25;50%;$ 10312.63
12530;nimodipina;NIVAS FORTE;60 mg comp.rec.x 60;Adium;$ 34494.36;50%;$ 17247.18
21021;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 30;Adium;$ 26688.95;50%;$ 13344.48
21022;nimodipina+citicolina;NIVAS PLUS;comp.rec.x 60;Adium;$ 47461.27;50%;$ 23730.64
51317;noretisterona;PRIMOLUT NOR;10 mg blíst.comp.x 20;Adium;$ 29511.65;50%;$ 14755.83
8305;noretisterona+etinilestradiol;PRIMOSISTON;comp.x 30;Adium;$ 11620.74;50%;$ 5810.37
11665;oxibutinina;DELAK;comp.x 20;Adium;$ 13000.12;50%;$ 6500.06
23094;oxibutinina;DELAK;comp.x 30;Adium;$ 18172.58;50%;$ 9086.29
23095;oxibutinina;DELAK;comp.x 60;Adium;$ 34923.69;50%;$ 17461.85
9360;pancreatina+dimetilpolisiloxano;PANKREOFLAT AD;comp.rec.x 50;Adium;$ 21637.46;50%;$ 10818.73
23256;pantoprazol;PANTOP;IV iny.x 1;Adium;$ 794.82;40%;$ 476.89
31760;paracetamol;PARACETAMOL RAFFO 1 G;comp.ran.x 10;Adium;$ 7331.3;40%;$ 4398.78
49154;pregabalina;PREBICTAL;100 mg cáps.x 28;Adium;$ 61457.62;50%;$ 30728.81
44478;pregabalina;PREBICTAL;150 mg cáps.x 28;Adium;$ 65465.17;50%;$ 32732.59
51662;pregabalina;PREBICTAL;25 mg cáps.x 28;Adium;$ 14633.67;50%;$ 7316.84
49153;pregabalina;PREBICTAL;50 mg cáps.x 28;Adium;$ 35123.46;50%;$ 17561.73
44477;pregabalina;PREBICTAL;75 mg cáps.x 28;Adium;$ 41430;50%;$ 20715
37351;quetiapina;QUETIAZIC;100 mg comp.x 30;Adium;$ 94431.65;50%;$ 47215.83
45449;quetiapina;QUETIAZIC;100 mg comp.x 60;Adium;$ 149159.55;50%;$ 74579.78
37352;quetiapina;QUETIAZIC;200 mg comp.x 30;Adium;$ 121825.3;50%;$ 60912.65
45452;quetiapina;QUETIAZIC;200 mg comp.x 60;Adium;$ 197140.7;50%;$ 98570.35
48928;quetiapina;QUETIAZIC XR;200mg comp.acc.prol.x 30;Adium;$ 121748.57;50%;$ 60874.29
37804;quetiapina;QUETIAZIC;25 mg comp.x 30;Adium;$ 57911.22;50%;$ 28955.61
45448;quetiapina;QUETIAZIC;25 mg comp.x 60;Adium;$ 89848.61;50%;$ 44924.31
46321;quetiapina;QUETIAZIC;300 mg comp.x 30;Adium;$ 138495.87;50%;$ 69247.94
48929;quetiapina;QUETIAZIC XR;300mg comp.acc.prol.x 30;Adium;$ 165272.61;50%;$ 82636.31
48930;quetiapina;QUETIAZIC XR;400mg comp.acc.prol.x 30;Adium;$ 248502.35;50%;$ 124251.18
48927;quetiapina;QUETIAZIC XR;50 mg comp.acc.prol.x 30;Adium;$ 118412.74;50%;$ 59206.37
36613;risperidona;DOZIC;0.5 mg comp.ran.x 20;Adium;$ 8181.49;50%;$ 4090.75
30965;risperidona;DOZIC;1 mg comp.ran.x 20;Adium;$ 13510.51;50%;$ 6755.26
32777;risperidona;DOZIC;1 mg comp.ran.x 60;Adium;$ 28934.19;50%;$ 14467.1
