ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/04/2026;COBERTURA;IMPORTE AFILIADO
32425;clotrimazol;MICOSEP;pasta dérm.x 30 g;Cassarß;$ 10500;40%;$ 6300
50517;fluconazol;FLUCODERM;150 mg comp.ran.x 4;Cassarß;$ 19992.82;50%;$ 9996.41
46726;fluticasona;FLUTICORT;125 mcg aer.hfa x 120ds.;Cassarß;$ 30517.73;80%;$ 6103.55
46727;fluticasona;FLUTICORT;250 mcg aer.hfa x 120ds.;Cassarß;$ 39330.16;80%;$ 7866.03
45636;fluticasona;FLUTICORT;50 mcg spray nas.x60 ds.;Cassarß;$ 8690;80%;$ 1738
48169;fluticasona+salmeterol;FLUTIVENT HFA;125/25 mcg dosis x 120;Cassarß;$ 38349.76;60%;$ 15339.9
48156;fluticasona+salmeterol;FLUTIVENT HFA;125/25 mcg dosis x 60;Cassarß;$ 18510.1;60%;$ 7404.04
48681;fluticasona+salmeterol;FLUTIVENT+AEROMED HFA;125/25mcg ds.x150+espac.;Cassarß;$ 44774.68;60%;$ 17909.87
47968;fluticasona+salmeterol;FLUTIVENT HFA;250/25 mcg dosis x 120;Cassarß;$ 43306.73;60%;$ 17322.69
47680;fluticasona+salmeterol;FLUTIVENT HFA;250/25 mcg dosis x 60;Cassarß;$ 19511.89;60%;$ 7804.76
26106;fusídico,ác.;FUSIMED;2% cr.x 15 g;Cassarß;$ 7542.38;60%;$ 3016.95
24362;fusídico,ác.+betametasona;FUSIMED B OTONASAL;emuls.x 15 g;Cassarß;$ 18790;40%;$ 11274
23064;fusídico,ác.+betametasona;FUSIMED B;emuls.x 50 g;Cassarß;$ 25600;40%;$ 15360
24231;hidrocortisona;ALFACORT;1% cr.x 30 g;Cassarß;$ 7650.56;50%;$ 3825.28
24232;hidrocortisona;ALFACORT;1% emuls.x 100 ml;Cassarß;$ 19262.61;50%;$ 9631.31
26462;hidrocortisona;ALFACORT;1% emuls.x 15 ml;Cassarß;$ 5510.93;50%;$ 2755.47
25126;hidrocortisona;ALFACORT UNIDOSIS;env.x 20 unidosis;Cassarß;$ 12000;50%;$ 6000
42288;imiquimod;MODULCASS;5% cr.derm.x 3 g;Cassarß;$ 16588.73;50%;$ 8294.37
47471;ipratropio,bromuro;AEROTROP;aer.hfa x 250 ds.;Cassarß;$ 16954.65;60%;$ 6781.86
38201;ipratropio,bromuro;AEROTROP;sol.neb.x24 unid.x 2.5ml;Cassarß;$ 17021.55;60%;$ 6808.62
44319;ipratropio,bromuro;AEROTROP;spray nasal x 120 dosis;Cassarß;$ 10196.54;60%;$ 4078.62
46257;itraconazol;ITRAC 200;cáps.x 14;Cassarß;$ 26566.41;50%;$ 13283.21
31806;itraconazol;ITRAC 100;cáps.x 15;Cassarß;$ 21862.06;50%;$ 10931.03
50388;ivermectina;LICEND;0.5% loción x 60 g;Cassarß;$ 11635.35;50%;$ 5817.68
55470;ivermectina;IVERCASS;comp.x 4;Cassarß;$ 16785.98;50%;$ 8392.99
55128;ivermectina;IVERCASS;sol.oral gtas.x 20 ml;Cassarß;$ 20664.53;50%;$ 10332.27
50948;ketoconazol;EUMICEL COLAGENO;2% shamp.x 120 ml;Cassarß;$ 20880;40%;$ 12528
24230;loratadina+betametasona;SINALER B;comp.x 20;Cassarß;$ 16650;40%;$ 9990
34506;loratadina+betametasona;SINALER B;jbe.x 50 ml;Cassarß;$ 8900;40%;$ 5340
42043;loratadina+pseudoefedrina;SINALER D;caps.x 10;Cassarß;$ 9247.27;40%;$ 5548.36
38357;metronidazol;METRAL;1% cr.x 30 g;Cassarß;$ 10670.43;50%;$ 5335.22
51003;mometasona furoato;SUAVICORT;cr.x 20 g;Cassarß;$ 13703.29;50%;$ 6851.65
50925;mometasona furoato;SUAVICORT;spray nasal x 150 ds.;Cassarß;$ 15420;50%;$ 7710
56081;moxifloxacina;MOXIBASE;400 mg comp.rec.x 10;Cassarß;$ 34362.28;80%;$ 6872.46
12536;nafazolina+cromoglicato disódico;RINOGEL;gel nasal x 15 ml;Cassarß;$ 7585.08;50%;$ 3792.54
40235;nicotina;NIUX;spray nasal x 200 ds.;Cassarß;$ 29312.57;50%;$ 14656.29
22487;ofloxacina;OTOFLOX;gts.óticas x 10 ml;Cassarß;$ 13339.33;60%;$ 5335.73
43788;oximetazolina;OXILER D;spray x 10 ml;Cassarß;$ 11491;50%;$ 5745.5
18640;podofilox;PODOXIN;sol.tópica x 3.5 ml;Cassarß;$ 14241.67;50%;$ 7120.84
2029;prednisolona+cloramfenicol;ESODAR;susp.est.x 10 ml;Cassarß;$ 8055.08;50%;$ 4027.54
49806;ribosomas+proteoglicanos;SUMMAVAC R;comp.x 12;Cassarß;$ 48378.56;50%;$ 24189.28
47141;salbutamol;SALBUTRAL C/AEROMED;aer.hfa x 250 dosis;Cassarß;$ 16040.52;80%;$ 3208.1
45496;salbutamol;SALBUTRAL;aer.x 250 dosis;Cassarß;$ 10026.6;80%;$ 2005.32
39858;salbutamol+beclometasona;BUTOCORT HFA;aer.x 250 dosis;Cassarß;$ 11989.82;80%;$ 2397.96
49159;salbutamol+ipratropio,br.;SALBUTRAL AC HFA;aer.x 250 dosis;Cassarß;$ 27709.35;60%;$ 11083.74
38474;salbutamol+ipratropio,br.;SALBUTRAL AC;sol.p/neb.unid.x24x2.5ml;Cassarß;$ 16571.63;60%;$ 6628.65
53492;salicílico,ác.;VERRUKID PEDIATRICO;gel líq.x 10 g;Cassarß;$ 13149.97;50%;$ 6574.99
21229;sodio,carbonato;OTOCLEAN GOTAS OTICAS;gts.óticas x 10 ml;Cassarß;$ 6608.37;50%;$ 3304.19
28233;sodio,cloruro;HYPERSOL;3% spray nasal x 25 ml;Cassarß;$ 7732.88;50%;$ 3866.44
48821;sodio,cloruro;HYPERSOL NEBU;sol.neb.unids.estér.x 12;Cassarß;$ 21266.11;50%;$ 10633.06
29640;sodio,cloruro;HYPERSOL UNIDOSIS;unidosis estériles x 25;Cassarß;$ 8429.27;50%;$ 4214.64
50680;sodio,cloruro+carragenina;NASITRAL;spray nasal est. x 10ml;Cassarß;$ 14262.73;50%;$ 7131.37
37950;sodio,cloruro+xilitol;XYLISOL;spray nasal x 25 ml;Cassarß;$ 10542.73;50%;$ 5271.37
26252;tretinoína;NEOTRETIN D;0.005% cr.x 30 g;Cassarß;$ 11535.15;50%;$ 5767.58
26253;tretinoína;NEOTRETIN M;0.025% cr.x 30 g;Cassarß;$ 12638.68;50%;$ 6319.34
26254;tretinoína;NEOTRETIN F;0.050% cr.x 30 g;Cassarß;$ 14193.36;50%;$ 7096.68
2072;vacuna polimicrob.polimicót.;SUMMAVAC M;iny.a.x 8;Cassarß;$ 40398.19;50%;$ 20199.1
2073;vacuna polimicrob.polimicót.;SUMMAVAC P;iny.a.x 8;Cassarß;$ 42377.99;50%;$ 21189
57512;aripiprazol;ARINOVA;10 mg comp.x 28;Celnova Argenti;$ 26206.17;50%;$ 13103.09
57515;aripiprazol;ARINOVA;15 mg comp.x 28;Celnova Argenti;$ 35855.12;50%;$ 17927.56
57514;aripiprazol;ARINOVA;5 mg comp.x 28;Celnova Argenti;$ 22453.64;50%;$ 11226.82
57513;aripiprazol;ARINOVA;fco.x 150 ml;Celnova Argenti;$ 35941.9;50%;$ 17970.95
49769;dispositivo para aplic.insulina;AGUJAS BD ULTRAFINE 5MM 31G;31G x 5mm caja x 100;Celnova Argenti;$ 32645.31;100%;$ 0
50110;dispositivo para aplic.insulina;AGUJAS BD ULTRAFINE 8MM 31G;31G x 8mm caja x 100;Celnova Argenti;$ 32645.31;100%;$ 0
56746;dispositivo para aplic.insulina;AGUJAS BD ULTRAFINE 4MM 32G (EF);32G x 4mm caja x 100;Celnova Argenti;$ 32645.31;100%;$ 0
39121;dispositivo para aplic.insulina;JERINGAS BD ULTRAFINE 0.3 ML AGUJA CORTA;Jga.0.3cc. 8mmx30g x100u;Celnova Argenti;$ 43549.69;100%;$ 0
39120;dispositivo para aplic.insulina;JERINGAS BD ULTRAFINE 0.5 ML AGUJA CORTA;Jga.0.5cc 8mmx30g x 100u;Celnova Argenti;$ 43549.69;100%;$ 0
39122;dispositivo para aplic.insulina;JERINGAS BD ULTRAFINE 1 ML AGUJA CORTA;Jga.1cc 8mmx30g x 100u;Celnova Argenti;$ 43549.69;100%;$ 0
49239;dispositivo para aplic.insulina;JERINGAS BD ULTRAFINE 0.3 ML AGUJA MINI;jga.0.3cc 6mmx31G x 100u;Celnova Argenti;$ 43549.69;100%;$ 0
49238;dispositivo para aplic.insulina;JERINGAS BD ULTRAFINE 0.5 ML AGUJA MINI;jga.0.5cc 6mmx31G x 100u;Celnova Argenti;$ 43549.69;100%;$ 0
49237;dispositivo para aplic.insulina;JERINGAS BD ULTRAFINE 1 ML AGUJA MINI;jga.1cc 6mmx31G x100u;Celnova Argenti;$ 43549.69;100%;$ 0
58583;donepecilo;DONENOVA;10 mg comp.rec.x 30;Celnova Argenti;$ 46351.88;50%;$ 23175.94
58582;donepecilo;DONENOVA;5 mg comp.rec.x 30;Celnova Argenti;$ 36695.21;50%;$ 18347.61
57504;escitalopram;ESCITANOVA;10 mg comp.rec.x 28;Celnova Argenti;$ 32832.79;50%;$ 16416.4
57503;escitalopram;ESCITANOVA;20 mg comp.rec.x 28;Celnova Argenti;$ 59870.98;50%;$ 29935.49
55762;levetiracetam;LEVENOVA;1000 mg comp.rec.x 30;Celnova Argenti;$ 150643.31;50%;$ 75321.66
55761;levetiracetam;LEVENOVA;500 mg comp.rec.x 60;Celnova Argenti;$ 146147.41;50%;$ 73073.71
10994;levomepromazina;NOZINAN;25 mg comp.x 30;Celnova Argenti;$ 19836.85;50%;$ 9918.43
57052;olanzapina;OLANZANOVA;10 mg comp.rec.x 28;Celnova Argenti;$ 153795.79;50%;$ 76897.9
57505;olanzapina;OLANZANOVA;5 mg comp.rec.x 28;Celnova Argenti;$ 73814.28;50%;$ 36907.14
59990;quetiapina;QUETIANOVA;25 mg comp.rec.x 30;Celnova Argenti;$ 44175.56;50%;$ 22087.78
57258;sertralina;SERTRANOVA;100 mg comp.rec.x 30;Celnova Argenti;$ 43686.78;50%;$ 21843.39
57257;sertralina;SERTRANOVA;50 mg comp.rec.x 30;Celnova Argenti;$ 25107.04;50%;$ 12553.52
43318;vildagliptin;GALVUS;50 mg comp.x 28;Celnova Argenti;$ 54766.02;100%;$ 0
42278;vildagliptin;GALVUS;50 mg comp.x 56;Celnova Argenti;$ 106883.42;100%;$ 0
43320;vildagliptin+metformina;GALVUS MET;50/1000 mg comp.x 30;Celnova Argenti;$ 74135.66;100%;$ 0
42498;vildagliptin+metformina;GALVUS MET;50/1000 mg comp.x 60;Celnova Argenti;$ 140256.1;100%;$ 0
50039;vildagliptin+metformina;GALVUS MET;50/500 mg comp.x 30;Celnova Argenti;$ 65185.38;100%;$ 0
50040;vildagliptin+metformina;GALVUS MET;50/500 mg comp.x 60;Celnova Argenti;$ 122866.03;100%;$ 0
43319;vildagliptin+metformina;GALVUS MET;50/850 mg comp.x 30;Celnova Argenti;$ 65185.38;100%;$ 0
42497;vildagliptin+metformina;GALVUS MET;50/850 mg comp.x 60;Celnova Argenti;$ 122866.03;100%;$ 0
12258;alprazolam;BESTROL;0.5 mg comp.x 20;Cetus;$ 4520.18;50%;$ 2260.09
19676;alprazolam;BESTROL;0.5 mg comp.x 40;Cetus;$ 7605.06;50%;$ 3802.53
13402;alprazolam;BESTROL;0.5 mg comp.x 60;Cetus;$ 10331.72;50%;$ 5165.86
12259;alprazolam;BESTROL;1 mg comp.x 20;Cetus;$ 7680.83;50%;$ 3840.42
19677;alprazolam;BESTROL;1 mg comp.x 40;Cetus;$ 12307.42;50%;$ 6153.71
13403;alprazolam;BESTROL;1 mg comp.x 60;Cetus;$ 17180.85;50%;$ 8590.43
2164;bametano+asoc.;FLAVAL;comp.x 30;Cetus;$ 36709.24;50%;$ 18354.62
2165;bametano+asoc.;FLAVAL;comp.x 60;Cetus;$ 71725.76;50%;$ 35862.88
46518;butamirato,citrato;PROKING NF;jbe.x 120 ml;Cetus;$ 16218.42;50%;$ 8109.21
33080;cetirizina;CETIRIZINA CETUS;comp.x 10;Cetus;$ 12118.09;40%;$ 7270.85
2171;dehidrocólico,ác.+asoc.;ZIMEROL;comp.rec.x 45;Cetus;$ 31605.55;50%;$ 15802.78
11100;dexclorfeniramina;AFEME;comp.x 20;Cetus;$ 10291.32;50%;$ 5145.66
10881;diazepam;CUADEL;10 mg comp.x 20;Cetus;$ 9058.25;50%;$ 4529.13
10880;diazepam;CUADEL;5 mg comp.x 20;Cetus;$ 6876.11;50%;$ 3438.06
2139;diclofenac sódico+orfenadrina;BELMALEN;comp.rec.x 20;Cetus;$ 23095.66;40%;$ 13857.4
47795;domperidona;KINETIDOM;comp.x 20;Cetus;$ 9778.25;50%;$ 4889.13
41185;glucosamina;BELMALEN PLUS;sob.x 30;Cetus;$ 49922.56;40%;$ 29953.54
2169;levoglutamina+vit.b6+asoc.;TUAPLEX;comp.x 50;Cetus;$ 51452.05;40%;$ 30871.23
20312;loperamida;IONET;comp.x 10;Cetus;$ 7201.65;50%;$ 3600.83
51529;mazindol;FAGOLIP PLUS;comp.x 30;Cetus;$ 34980.86;50%;$ 17490.43
2142;metoclopramida+asoc.;BITECAIN A.A.;comp.x 20;Cetus;$ 19425.46;50%;$ 9712.73
2135;pancreatina+asoc.;ARNOL 720-T;comp.rec.x 30;Cetus;$ 26567.21;50%;$ 13283.61
2136;pancreatina+asoc.;ARNOL 720-T;comp.rec.x 60;Cetus;$ 52328.94;50%;$ 26164.47
2148;paracetamol+difenhidramina+asoc.;CORIZINA CETUS;grag.x 12;Cetus;$ 9421.27;40%;$ 5652.76
23736;sertralina;BICROMIL;100 mg comp.x 30;Cetus;$ 566.37;50%;$ 283.19
23735;sertralina;BICROMIL;50 mg comp.x 30;Cetus;$ 31413.92;50%;$ 15706.96
14944;simeticona;SIMETICONA CETUS;comp.x 20;Cetus;$ 8385.47;50%;$ 4192.74
2155;sodio,picosulfato;DAGOL CETUS;comp.x 20;Cetus;$ 9073.39;50%;$ 4536.7
2156;sodio,picosulfato;DAGOL CETUS;gts.x 15 ml;Cetus;$ 7516.95;50%;$ 3758.48
51142;allopurinol;ALLOPURINOL 100 CRAVERI;100 mg comp.x 30;Craveri;$ 5450.72;60%;$ 2180.29
51143;allopurinol;ALLOPURINOL 100 CRAVERI;100 mg comp.x 60;Craveri;$ 9485.81;60%;$ 3794.32
40472;allopurinol;ALLOPURINOL CRAVERI RETARD;300 mg comp.lib.prol.x20;Craveri;$ 11756.79;60%;$ 4702.72
40473;allopurinol;ALLOPURINOL CRAVERI RETARD;300 mg comp.lib.prol.x50;Craveri;$ 21293.2;60%;$ 8517.28
9125;allopurinol;ALLOPURINOL 300 CRAVERI;300 mg comp.x 20;Craveri;$ 9423.67;60%;$ 3769.47
48994;allopurinol;ALLOPURINOL 300 CRAVERI;300 mg comp.x 30;Craveri;$ 12184.59;60%;$ 4873.84
9126;allopurinol;ALLOPURINOL 300 CRAVERI;300 mg comp.x 40;Craveri;$ 14982.56;60%;$ 5993.02
48995;allopurinol;ALLOPURINOL 300 CRAVERI;300 mg comp.x 60;Craveri;$ 18452.04;60%;$ 7380.82
32957;alprazolam+domperidona+asoc.;ANSIELIX DIGEST;comp.x 30;Craveri;$ 20391.77;40%;$ 12235.06
41769;amitriptilina;TRYPTALGIN;10 mg comp.rec.x 30;Craveri;$ 9001.32;50%;$ 4500.66
41770;amitriptilina;TRYPTALGIN;25 mg comp.rec.x 30;Craveri;$ 10644.23;50%;$ 5322.12
41771;amitriptilina;TRYPTALGIN;75 mg comp.rec.x 30;Craveri;$ 21500.29;50%;$ 10750.15
32961;atorvastatín;PLAN;10 mg comp.x 30;Craveri;$ 36839.68;60%;$ 14735.87
32962;atorvastatín;PLAN;20 mg comp.x 30;Craveri;$ 59821.79;60%;$ 23928.72
41058;atorvastatín+ezetimibe;PLAN DUO;10/10mg comp.x 60(30+30);Craveri;$ 41254.91;50%;$ 20627.46
41059;atorvastatín+ezetimibe;PLAN DUO;10/20mg comp.x 60(30+30);Craveri;$ 59716.03;50%;$ 29858.02
51352;betametasona+gentamic.+miconazol;DERMA 3;cr.x 20 g;Craveri;$ 20485.63;40%;$ 12291.38
37799;carvedilol;ANTIBLOC 12.5;12.5 mg comp.x 30;Craveri;$ 15639.21;60%;$ 6255.68
37800;carvedilol;ANTIBLOC 25;25 mg comp.x 30;Craveri;$ 19199.83;60%;$ 7679.93
37798;carvedilol;ANTIBLOC 6.25;6.25 mg comp.x 30;Craveri;$ 12332.85;60%;$ 4933.14
42640;cilostazol;CILAAL 100;100 mg comp.x 30;Craveri;$ 39123.93;60%;$ 15649.57
42639;cilostazol;CILAAL 50;50 mg comp.x 30;Craveri;$ 19636.29;60%;$ 7854.52
52561;clopidogrel;DANIR;75 mg comp.x 30;Craveri;$ 1534.19;50%;$ 767.1
22468;cumarina;ESBERIVEN EMULSION;env.x 70 g;Craveri;$ 32267.29;50%;$ 16133.65
8959;cumarina+troxerrutina;ESBERIVEN DEPOT;grag.x 100;Craveri;$ 62296.61;50%;$ 31148.31
9777;cumarina+troxerrutina;ESBERIVEN DEPOT;grag.x 20;Craveri;$ 17605.22;50%;$ 8802.61
2400;cumarina+troxerrutina;ESBERIVEN DEPOT;grag.x 50;Craveri;$ 39959.11;50%;$ 19979.56
47786;desogestrel;PINK;comp.rec.x 28;Craveri;$ 15749.28;50%;$ 7874.64
51186;diosmina;DIOSMIN CREMA;pomo x 30 g;Craveri;$ 15282.98;50%;$ 7641.49
52849;diosmina;DIOSMIN CREMA;pomo x 90 g;Craveri;$ 31362.54;50%;$ 15681.27
46705;diosmina+hesperidina micronizada;DIOSMIN;comp.rec.x 100;Craveri;$ 110407.02;40%;$ 66244.21
41060;diosmina+hesperidina micronizada;DIOSMIN;comp.x 30;Craveri;$ 39655.89;40%;$ 23793.53
41061;diosmina+hesperidina micronizada;DIOSMIN;comp.x 60;Craveri;$ 73388.32;40%;$ 44032.99
51937;doxilamina+piridoxina;TONVAL;10/10 mg cáps.x 30;Craveri;$ 32372.85;50%;$ 16186.43
54429;etoricoxib;ETOREX;120 mg comp.x 7;Craveri;$ 11571.94;50%;$ 5785.97
54426;etoricoxib;ETOREX;60 mg comp.x 28;Craveri;$ 36621.17;50%;$ 18310.59
54427;etoricoxib;ETOREX;90 mg comp.x 14;Craveri;$ 29304.09;50%;$ 14652.05
54428;etoricoxib;ETOREX;90 mg comp.x 28;Craveri;$ 51173.88;50%;$ 25586.94
35060;fenofibrato micronizado;CRAVERIL;comp.rec.x 30;Craveri;$ 40600.49;60%;$ 16240.2
51311;fenofíbrico,ác.;CRAVERIL XR;135 mg cáps.lib.prol.x30;Craveri;$ 38884.73;60%;$ 15553.89
51310;fenofíbrico,ác.;CRAVERIL XR;45 mg cáps.lib.prol.x 30;Craveri;$ 32984.64;60%;$ 13193.86
1341;fenolftaleína+asoc.;GENOLAXANTE;grag.x 30;Craveri;$ 9387.4;50%;$ 4693.7
9291;fenolftaleína+asoc.;GENOLAXANTE;grag.x 50;Craveri;$ 13713.26;50%;$ 6856.63
53803;fluconazol;FLUCONAL;150 mg comp.x 2;Craveri;$ 14596.54;50%;$ 7298.27
53804;fluconazol;FLUCONAL;150 mg comp.x 4;Craveri;$ 23827.52;50%;$ 11913.76
33458;gabapentin;LOGISTIC;300 mg comp.rec.x 30;Craveri;$ 37482.78;60%;$ 14993.11
33398;gabapentin;LOGISTIC;300 mg comp.rec.x 60;Craveri;$ 67257.87;60%;$ 26903.15
36647;gabapentin;LOGISTIC;600 mg comp.rec.x 30;Craveri;$ 46072.09;60%;$ 18428.84
31779;glibenclamida;BENCLAMID;5 mg comp.x 60;Craveri;$ 589.61;100%;$ 0
47349;gliclazida;TRADON MR;30mg comp.lib.modif.x 30;Craveri;$ 14721.84;100%;$ 0
47350;gliclazida;TRADON MR;30mg comp.lib.modif.x 60;Craveri;$ 28849.82;100%;$ 0
48802;gliclazida;TRADON 60 MR;60mg comp.lib.modif.x 30;Craveri;$ 27374.36;100%;$ 0
48803;gliclazida;TRADON 60 MR;60mg comp.lib.modif.x 60;Craveri;$ 53408.3;100%;$ 0
24790;glimepiride;ISLOPIR;2 mg comp.x 30;Craveri;$ 15801.77;100%;$ 0
24794;glimepiride;ISLOPIR;4 mg comp.x 30;Craveri;$ 31139.28;100%;$ 0
42347;heparina sódica;HEPATRIET;gel tópico x 60 g;Craveri;$ 29366.39;60%;$ 11746.56
47164;ibandrónico,ác.;TABTIL;comp.rec.x 1;Craveri;$ 39708.51;50%;$ 19854.26
47165;ibandrónico,ác.;TABTIL;comp.rec.x 3;Craveri;$ 62839.47;50%;$ 31419.74
17926;lactulosa;GENOCOLAN;jbe.x 120 ml;Craveri;$ 332.5;40%;$ 199.5
54995;leflunomida;FLUDART;20 mg comp.rec.x 30;Craveri;$ 45645.87;50%;$ 22822.94
35841;meloxicam;DOMINADOL;15 mg comp.x 20;Craveri;$ 808.57;40%;$ 485.14
47850;metformina;ISLOTIN XR 1000;1000 mg comp.rec.AP x 30;Craveri;$ 25813.28;100%;$ 0
47851;metformina;ISLOTIN XR 1000;1000 mg comp.rec.AP x 60;Craveri;$ 48237.44;100%;$ 0
31528;metformina;ISLOTIN 1000;1000 mg comp.rec.x 100;Craveri;$ 50264.14;100%;$ 0
29279;metformina;ISLOTIN 1000;1000 mg comp.rec.x 20;Craveri;$ 621.9;100%;$ 0
51505;metformina;ISLOTIN 1000;1000 mg comp.rec.x 30;Craveri;$ 18835.48;100%;$ 0
29280;metformina;ISLOTIN 1000;1000 mg comp.rec.x 50;Craveri;$ 1315.64;100%;$ 0
51506;metformina;ISLOTIN 1000;1000 mg comp.rec.x 60;Craveri;$ 32194.28;100%;$ 0
43425;metformina;ISLOTIN XR;500 mg comp.rec.AP x 30;Craveri;$ 12386.97;100%;$ 0
43426;metformina;ISLOTIN XR;500 mg comp.rec.AP x 60;Craveri;$ 23537.87;100%;$ 0
6355;metformina;ISLOTIN;500 mg comp.x 100;Craveri;$ 25590.5;100%;$ 0
7744;metformina;ISLOTIN;500 mg comp.x 30;Craveri;$ 8117.42;100%;$ 0
47793;metformina;ISLOTIN XR 750;750 mg comp.rec.AP x 30;Craveri;$ 19392.42;100%;$ 0
47794;metformina;ISLOTIN XR 750;750 mg comp.rec.AP x 60;Craveri;$ 36226.91;100%;$ 0
31188;metformina;ISLOTIN RETARD;850 mg comp.rec.AP x 100;Craveri;$ 42923.45;100%;$ 0
15403;metformina;ISLOTIN RETARD;850 mg comp.rec.AP x 30;Craveri;$ 13473.23;100%;$ 0
15404;metformina;ISLOTIN RETARD;850 mg comp.rec.AP x 60;Craveri;$ 26610.79;100%;$ 0
23091;metoclopramida+pancreatina+asoc.;DIGESPLEN;grag.x 30;Craveri;$ 15285.69;50%;$ 7642.85
38666;metronidazol;METROLOCAL;0.8% gel x 30 g;Craveri;$ 24014.51;50%;$ 12007.26
12196;norfloxacina;NORFLOXACINA CRAVERI;comp.x 10;Craveri;$ 11875.34;60%;$ 4750.14
12197;norfloxacina;NORFLOXACINA CRAVERI;comp.x 20;Craveri;$ 22915.04;60%;$ 9166.02
18794;oxibutinina;UREQUIN;comp.x 20;Craveri;$ 14298.56;50%;$ 7149.28
18795;oxibutinina;UREQUIN;comp.x 50;Craveri;$ 33217.84;50%;$ 16608.92
48804;pentoxifilina;PENTOMIRON;comp.rec.x 60;Craveri;$ 51379.22;50%;$ 25689.61
45314;pregabalina;CLASICA;150 mg cáps.x 28;Craveri;$ 45596.56;50%;$ 22798.28
59789;pregabalina;CLASICA;150 mg cáps.x 30;Craveri;$ 46633.25;50%;$ 23316.63
48805;pregabalina;CLASICA;25 mg cáps.x 28;Craveri;$ 10336.86;50%;$ 5168.43
59788;pregabalina;CLASICA;25 mg cáps.x 30;Craveri;$ 10577.22;50%;$ 5288.61
45313;pregabalina;CLASICA;75 mg cáps.x 28;Craveri;$ 30837.47;50%;$ 15418.74
59603;pregabalina;CLASICA;75 mg cáps.x 30;Craveri;$ 31630.03;50%;$ 15815.02
41761;repaglinida;CRAVENORM;1 mg comp.x 30;Craveri;$ 10339.21;50%;$ 5169.61
45185;rosuvastatina;LIPOGLUTAREN 10;10 mg comp.rec.x 30;Craveri;$ 23012.02;60%;$ 9204.81
45186;rosuvastatina;LIPOGLUTAREN 20;20 mg comp.rec.x 30;Craveri;$ 42780.02;60%;$ 17112.01
45184;rosuvastatina;LIPOGLUTAREN 5;5 mg comp.rec.x 30;Craveri;$ 18013.45;60%;$ 7205.38
52237;rosuvastatina+ezetimibe;LIPOGLUTAREN DUO;10/10 mg comp.rec.x30+30;Craveri;$ 35448.81;50%;$ 17724.41
52238;rosuvastatina+ezetimibe;LIPOGLUTAREN DUO;20/10 mg comp.rec.x30+30;Craveri;$ 61988.33;50%;$ 30994.17
44022;ruscogenina+hesperidina+asoc.;NOLEN;cáps.x 30;Craveri;$ 42750.15;40%;$ 25650.09
44023;ruscogenina+hesperidina+asoc.;NOLEN;cáps.x 60;Craveri;$ 78791.88;40%;$ 47275.13
37805;sildenafil;FIRMEL;50 mg comp.mast.x 2;Craveri;$ 3989.02;50%;$ 1994.51
22471;sildenafil;FIRMEL;50 mg comp.x 10;Craveri;$ 23683.34;50%;$ 11841.67
22469;sildenafil;FIRMEL;50 mg comp.x 2;Craveri;$ 5740.25;50%;$ 2870.13
33192;sildenafil;FIRMEL;50 mg comp.x 20;Craveri;$ 48350.72;50%;$ 24175.36
41772;sumatriptán;MIGRATRIPTAN;100 mg comp.x 2;Craveri;$ 25398.07;50%;$ 12699.04
41773;sumatriptán;MIGRATRIPTAN;100 mg comp.x 4;Craveri;$ 48485.69;50%;$ 24242.85
47163;tibolona;KLIMASTRESS;2.5 mg comp.x 30;Craveri;$ 26660.1;50%;$ 13330.05
20758;tióctico,ác.;CIAGEN 600;600 mg comp.rec.x 30;Craveri;$ 50946.93;50%;$ 25473.47
51045;tióctico,ác.;CIAGEN 600;600 mg comp.rec.x 60;Craveri;$ 93095.07;50%;$ 46547.54
57475;tramadol;TRAMUSTIN;comp.x 10;Craveri;$ 7880.94;50%;$ 3940.47
57476;tramadol;TRAMUSTIN;comp.x 20;Craveri;$ 16515.07;50%;$ 8257.54
57477;tramadol;TRAMUSTIN;comp.x 30;Craveri;$ 23030.11;50%;$ 11515.06
35794;trimebutina;BIORGAN;200 mg comp.x 20;Craveri;$ 11786.71;50%;$ 5893.36
35795;trimebutina;BIORGAN;200 mg comp.x 40;Craveri;$ 20890.46;50%;$ 10445.23
35796;trimebutina;BIORGAN AP;300 mg comp.x 20;Craveri;$ 16260.81;50%;$ 8130.41
35797;trimebutina+bromazepam;BIORGAN B;comp.x 30;Craveri;$ 20804.11;40%;$ 12482.47
48345;trimebutina+simeticona;BIORGAN S;200/120 mg comp.rec.x 20;Craveri;$ 17217.47;40%;$ 10330.48
48346;trimebutina+simeticona;BIORGAN S;200/120 mg comp.rec.x 40;Craveri;$ 31687.43;40%;$ 19012.46
23480;trolamina;BIAFINE;emuls.x 93 g;Craveri;$ 1122.44;50%;$ 561.22
2128;troxerrutina+escina;TROXEVEN FORTE;500 mg comp.x 20;Craveri;$ 18160.6;50%;$ 9080.3
2129;troxerrutina+escina;TROXEVEN FORTE;500 mg comp.x 40;Craveri;$ 31282.72;50%;$ 15641.36
30518;antipirina+sodio,carbonato+asoc.;SINCERUM;gts.x 5 ml;Dallas;$ 7752.83;50%;$ 3876.42
33248;budesonide;PROETZONIDE NEBU;fco.x 20 ml;Dallas;$ 18816.4;60%;$ 7526.56
